1,A DISPOSICAO DE ORGAOS ESTRANHOS AO GDF COM ONUS
1,APOSENTADOS
1,ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS - APAE
1,BIBLIOTECA E.C. MONTEIRO LOBATO
10,BIBLIOTECA ESCOLAR E COMUNITARIA DA EQS 108/308 SUL
1,BIBLIOTECA INFANTIL 104/304 SUL
40,CAIC ALBERT SABIN
58,CAIC ASSIS CHATEAUBRIAND
29,CAIC AYRTON SENNA
36,CAIC BERNARDO SAYAO
32,CAIC CARLOS CASTELLO BRANCO
30,CAIC HELENA REIS
60,CAIC JULIA KUBITSCHEK DE OLIVEIRA
28,CAIC JUSCELINO KUBITSCHEK
30,CAIC PROFESSOR ANISIO TEIXEIRA
32,CAIC PROFESSOR BENEDITO CARLOS DE OLIVEIRA
69,CAIC PROFESSOR WALTER JOSE DE MOURA
46,CAIC SANTA MARIA
22,CAIC SANTA PAULINA
74,CAIC UNESCO
2,CENTRO DE EDUCACAO DA PRIMEIRA INFANCIA GAVIAO
18,CENTRO DE EDUCACAO INFANTIL 01
17,CENTRO DE EDUCACAO INFANTIL 01 DA ESTRUTURAL
22,CENTRO DE EDUCACAO INFANTIL 01 DE BRASILIA
10,Centro de Educação Infantil 01 de Brazlândia
20,CENTRO DE EDUCACAO INFANTIL 01 DE PLANALTINA
15,CENTRO DE EDUCACAO INFANTIL 01 DE SAO SEBASTIAO
10,CENTRO DE EDUCACAO INFANTIL 01 DE SOBRADINHO
11,CENTRO DE EDUCACAO INFANTIL 01 DE TAGUATINGA
18,CENTRO DE EDUCACAO INFANTIL 01 DO GAMA
3,CENTRO DE EDUCACAO INFANTIL 01 DO PARANOA
14,CENTRO DE EDUCACAO INFANTIL 01 DO RIACHO FUNDO I
16,CENTRO DE EDUCAÇÃO INFANTIL 02 DE SOBRADINHO
14,CENTRO DE EDUCAÇÃO INFANTIL 02 DE TAGUATINGA
11,CENTRO DE EDUCACAO INFANTIL 03 DE SAO SEBASTIAO
12,CENTRO DE EDUCAÇÃO INFANTIL 03 DE SOBRADINHO
13,CENTRO DE EDUCAÇÃO INFANTIL 03 DE TAGUATINGA
2,CENTRO DE EDUCAÇÃO INFANTIL 04 de SÃO SEBASTIÃO
4,CENTRO DE EDUCAÇÃO INFANTIL 04 DE SOBRADINHO
16,CENTRO DE EDUCACAO INFANTIL 04 DE TAGUATINGA
6,CENTRO DE EDUCAÇÃO INFANTIL 05 DE TAGUATINGA
14,CENTRO DE EDUCACAO INFANTIL 06 DE TAGUATINGA
2,CENTRO DE EDUCAÇÃO INFANTIL 07 DE TAGUATINGA
5,CENTRO DE EDUCACAO INFANTIL 2 DE BRAZLANDIA
8,CENTRO DE EDUCACAO INFANTIL 203 DE SANTA MARIA
21,CENTRO DE EDUCACAO INFANTIL 210 DE SAMAMBAIA
11,CENTRO DE EDUCAÇÃO INFANTIL 210 DE SANTA MARIA
18,CENTRO DE EDUCACAO INFANTIL 304 DO RECANTO DAS EMAS
15,CENTRO DE EDUCAÇÃO INFANTIL 307 DE SAMAMBAIA
14,CENTRO DE EDUCACAO INFANTIL 310 DO RECANTO DAS EMAS
16,CENTRO DE EDUCAÇÃO INFANTIL 416/516 DE SANTA MARIA
13,CENTRO DE EDUCACAO INFANTIL AGUAS CLARAS
16,CENTRO DE EDUCACAO INFANTIL DA CANDANGOLANDIA
20,Centro de Educação Infantil do Núcleo Bandeirante
19,CENTRO DE EDUCACAO INFANTIL DO RIACHO FUNDO II
11,CENTRO DE EDUCACAO PROFISSIONAL -ESCOLA TECNICA DE CEILANDIA
2,"CENTRO DE EDUCACAO PROFISSIONAL ARTICULADO DO GUARA
9; "
1,CENTRO DE EDUCACAO PROFISSIONAL ESCOLA TECNICA DE BRASILIA
3,CENTRO DE EDUCACAO PROFISSIONAL-ESCOLA TECNICA SAUDE DE PLAN
2,CENTRO DE ENSINO ESPECIAL 01 DE BRASILIA
9,CENTRO DE ENSINO ESPECIAL 01 DE CEILANDIA
2,CENTRO DE ENSINO ESPECIAL 01 DE PLANALTINA
3,CENTRO DE ENSINO ESPECIAL 01 DE SOBRADINHO
2,CENTRO DE ENSINO ESPECIAL 01 DO GAMA
9,CENTRO DE ENSINO ESPECIAL 02 DE CEILÂNDIA
23,CENTRO DE ENSINO FUNDAMENTAL 01 DA ESTRUTURAL
16,CENTRO DE ENSINO FUNDAMENTAL 01 DO CRUZEIRO
7,CENTRO DE ENSINO FUNDAMENTAL 01 DO LAGO NORTE
7,CENTRO DE ENSINO FUNDAMENTAL 01 DO PARANOA
10,CENTRO DE ENSINO FUNDAMENTAL 01 DO PLANALTO
6,CENTRO DE ENSINO FUNDAMENTAL 01 DO RIACHO FUNDO II
49,CENTRO DE ENSINO FUNDAMENTAL 02 DA ESTRUTURAL
10,CENTRO DE ENSINO FUNDAMENTAL 02 DE BRAZLANDIA
12,CENTRO DE ENSINO FUNDAMENTAL 02 DE CEILANDIA
16,CENTRO DE ENSINO FUNDAMENTAL 02 DE PLANALTINA
1,CENTRO DE ENSINO FUNDAMENTAL 02 DO PARANOA
10,CENTRO DE ENSINO FUNDAMENTAL 02 DO RIACHO FUNDO II
1,CENTRO DE ENSINO FUNDAMENTAL 03 DA ESTRUTURAL
1,CENTRO DE ENSINO FUNDAMENTAL 03 DE BRAZLANDIA
1,CENTRO DE ENSINO FUNDAMENTAL 03 DE PLANALTINA
1,CENTRO DE ENSINO FUNDAMENTAL 03 DE SOBRADINHO
3,CENTRO DE ENSINO FUNDAMENTAL 03 DO GAMA
5,CENTRO DE ENSINO FUNDAMENTAL 04 DE CEILANDIA
5,CENTRO DE ENSINO FUNDAMENTAL 04 DE PLANALTINA
13,CENTRO DE ENSINO FUNDAMENTAL 04 DE SOBRADINHO
1,CENTRO DE ENSINO FUNDAMENTAL 04 DO GAMA
10,CENTRO DE ENSINO FUNDAMENTAL 04 DO GUARA
2,CENTRO DE ENSINO FUNDAMENTAL 05 DE BRASILIA
6,CENTRO DE ENSINO FUNDAMENTAL 05 DE SOBRADINHO
3,CENTRO DE ENSINO FUNDAMENTAL 05 DO GAMA
20,CENTRO DE ENSINO FUNDAMENTAL 05 DO GUARÁ
5,CENTRO DE ENSINO FUNDAMENTAL 06 DE BRASILIA
8,CENTRO DE ENSINO FUNDAMENTAL 07 DE CEILANDIA
3,CENTRO DE ENSINO FUNDAMENTAL 07 DE SOBRADINHO
7,CENTRO DE ENSINO FUNDAMENTAL 08 DO GUARA
2,CENTRO DE ENSINO FUNDAMENTAL 10 DE CEILANDIA
2,CENTRO DE ENSINO FUNDAMENTAL 10 DO GAMA
14,CENTRO DE ENSINO FUNDAMENTAL 101 DO RECANTO DAS EMAS
20,CENTRO DE ENSINO FUNDAMENTAL 106 DO RECANTO DAS EMAS
3,CENTRO DE ENSINO FUNDAMENTAL 11 DE CEILANDIA
3,CENTRO DE ENSINO FUNDAMENTAL 11 DO GAMA
5,CENTRO DE ENSINO FUNDAMENTAL 113 DO RECANTO DAS EMAS
23,CENTRO DE ENSINO FUNDAMENTAL 115 DO RECANTO DAS EMAS
5,CENTRO DE ENSINO FUNDAMENTAL 12 DE CEILANDIA
1,CENTRO DE ENSINO FUNDAMENTAL 12 DE TAGUATINGA
12,CENTRO DE ENSINO FUNDAMENTAL 13 DE CEILANDIA
2,CENTRO DE ENSINO FUNDAMENTAL 14 DE CEILANDIA
1,CENTRO DE ENSINO FUNDAMENTAL 16 DE CEILANDIA
3,CENTRO DE ENSINO FUNDAMENTAL 18 DE CEILANDIA
3,CENTRO DE ENSINO FUNDAMENTAL 19 DE CEILANDIA
12,CENTRO DE ENSINO FUNDAMENTAL 20 DE CEILANDIA
4,CENTRO DE ENSINO FUNDAMENTAL 201 DE SANTA MARIA
4,CENTRO DE ENSINO FUNDAMENTAL 206 DO RECANTO DAS EMAS
10,CENTRO DE ENSINO FUNDAMENTAL 21 DE TAGUATINGA
4,CENTRO DE ENSINO FUNDAMENTAL 24 DE CEILANDIA
8,CENTRO DE ENSINO FUNDAMENTAL 25 DE CEILANDIA
2,CENTRO DE ENSINO FUNDAMENTAL 26 DE CEILANDIA
3,CENTRO DE ENSINO FUNDAMENTAL 27 DE CEILANDIA
13,CENTRO DE ENSINO FUNDAMENTAL 28 DE CEILANDIA
16,CENTRO DE ENSINO FUNDAMENTAL 30 DE CEILANDIA
22,CENTRO DE ENSINO FUNDAMENTAL 301 DO RECANTO DAS EMAS
23,CENTRO DE ENSINO FUNDAMENTAL 306 DO RECANTO DAS EMAS
9,CENTRO DE ENSINO FUNDAMENTAL 306 NORTE
16,CENTRO DE ENSINO FUNDAMENTAL 308 DE SANTA MARIA
1,CENTRO DE ENSINO FUNDAMENTAL 31 DE CEILANDIA
3,CENTRO DE ENSINO FUNDAMENTAL 316 DE SANTA MARIA
5,CENTRO DE ENSINO FUNDAMENTAL 316 NORTE
10,CENTRO DE ENSINO FUNDAMENTAL 32 DE CEILANDIA
3,CENTRO DE ENSINO FUNDAMENTAL 33 DE CEILANDIA
2,CENTRO DE ENSINO FUNDAMENTAL 34 DE CEILANDIA
2,CENTRO DE ENSINO FUNDAMENTAL 35 DE CEILANDIA
25,CENTRO DE ENSINO FUNDAMENTAL 403 DE SANTA MARIA
3,CENTRO DE ENSINO FUNDAMENTAL 404 DE SAMAMBAIA
1,CENTRO DE ENSINO FUNDAMENTAL 405 SUL
27,CENTRO DE ENSINO FUNDAMENTAL 418 DE SANTA MARIA
3,CENTRO DE ENSINO FUNDAMENTAL 519 DE SAMAMBAIA
11,CENTRO DE ENSINO FUNDAMENTAL 602 DO RECANTO DAS EMAS
19,CENTRO DE ENSINO FUNDAMENTAL 801 DO RECANTO DAS EMAS
22,CENTRO DE ENSINO FUNDAMENTAL 802 DO RECANTO DAS EMAS
11,CENTRO DE ENSINO FUNDAMENTAL BOA ESPERANCA
6,CENTRO DE ENSINO FUNDAMENTAL BONSUCESSO
1,CENTRO DE ENSINO FUNDAMENTAL BURITI VERMELHO
2,CENTRO DE ENSINO FUNDAMENTAL CERAMICA SAO PAULO
12,CENTRO DE ENSINO FUNDAMENTAL CERAMICAS REUNIDAS DOM BOSCO
2,CENTRO DE ENSINO FUNDAMENTAL DO BOSQUE
2,CENTRO DE ENSINO FUNDAMENTAL DOUTORA ZILDA ARNS
4,CENTRO DE ENSINO FUNDAMENTAL JARDIM II
9,CENTRO DE ENSINO FUNDAMENTAL JATAI
27,CENTRO DE ENSINO FUNDAMENTAL JUSCELINO KUBITSCHEK
11,CENTRO DE ENSINO FUNDAMENTAL METROPOLITANA
1,CENTRO DE ENSINO FUNDAMENTAL MIGUEL ARCANJO
7,CENTRO DE ENSINO FUNDAMENTAL NOSSA SENHORA DE FATIMA
17,CENTRO DE ENSINO FUNDAMENTAL NOVA BETANIA
12,CENTRO DE ENSINO FUNDAMENTAL PIPIRIPAU II
4,CENTRO DE ENSINO FUNDAMENTAL PONTE ALTA DO BAIXO
6,CENTRO DE ENSINO FUNDAMENTAL PONTE ALTA NORTE
22,CENTRO DE ENSINO FUNDAMENTAL PROF MARIA ROSARIO GONDIM SILVA
10,CENTRO DE ENSINO FUNDAMENTAL QUEIMA DO LENCOL
4,CENTRO DE ENSINO FUNDAMENTAL RIO PRETO
16,CENTRO DE ENSINO FUNDAMENTAL SANTOS DUMONT
15,CENTRO DE ENSINO FUNDAMENTAL SAO JOSE
8,CENTRO DE ENSINO FUNDAMENTAL SARGENTO LIMA
6,Centro de Ensino Fundamental Tamanduá
19,CENTRO DE ENSINO FUNDAMENTAL TELEBRASILIA
11,CENTRO DE ENSINO FUNDAMENTAL VENDINHA
1,CENTRO DE ENSINO MEDIO 01 DO GAMA
6,CENTRO DE ENSINO MEDIO 01 DO NUCLEO BANDEIRANTE
1,CENTRO DE ENSINO MEDIO 01 DO PARANOA
5,CENTRO DE ENSINO MEDIO 02 DE CEILANDIA
6,CENTRO DE ENSINO MEDIO 03 DE CEILANDIA
3,CENTRO DE ENSINO MÉDIO 04 DE CEILÂNDIA
1,CENTRO DE ENSINO MEDIO 09 DE CEILANDIA
3,CENTRO DE ENSINO MEDIO 10 DE CEILANDIA
1,CENTRO DE ENSINO MEDIO 111 DO RECANTO DAS EMAS
4,CENTRO DE ENSINO MEDIO 12 DE CEILANDIA
3,CENTRO DE ENSINO MEDIO 304 DE SAMAMBAIA
1,CENTRO DE ENSINO MEDIO DA ASA NORTE
1,CENTRO DE ENSINO MEDIO ELEFANTE BRANCO
4,CENTRO DE ENSINO MEDIO ESCOLA INDUSTRIAL DE TAGUATINGA
6,CENTRO DE ENSINO MEDIO JULIA KUBITSCHEK
2,CENTRO DE ENSINO MEDIO SETOR OESTE
18,CENTRO EDUCACIONAL 01 DE BRASILIA
2,CENTRO EDUCACIONAL 01 DO GUARA
2,CENTRO EDUCACIONAL 02 DE SOBRADINHO
5,CENTRO EDUCACIONAL 02 DE TAGUATINGA
7,CENTRO EDUCACIONAL 02 DO CRUZEIRO
4,CENTRO EDUCACIONAL 02 DO RIACHO FUNDO I
3,CENTRO EDUCACIONAL 03 DE PLANALTINA
1,CENTRO EDUCACIONAL 04 DE BRAZLANDIA
1,CENTRO EDUCACIONAL 04 DE SOBRADINHO
3,CENTRO EDUCACIONAL 04 DO GUARA
1,CENTRO EDUCACIONAL 05 DE TAGUATINGA
5,CENTRO EDUCACIONAL 06 DE CEILANDIA
1,CENTRO EDUCACIONAL 06 DE TAGUATINGA
23,CENTRO EDUCACIONAL 06 DO GAMA
8,CENTRO EDUCACIONAL 07 DE CEILANDIA
1,CENTRO EDUCACIONAL 07 DO GAMA
4,CENTRO EDUCACIONAL 11 DE CEILANDIA
4,CENTRO EDUCACIONAL 14 DE CEILANDIA
6,CENTRO EDUCACIONAL 15 DE CEILÂNDIA
5,CENTRO EDUCACIONAL 310 DE SANTA MARIA/ANEXO
5,CENTRO EDUCACIONAL 619 DE SAMAMBAIA
5,CENTRO EDUCACIONAL AGROURBANO IPE DO RIACHO FUNDO
11,CENTRO EDUCACIONAL CASA GRANDE
3,CENTRO EDUCACIONAL DA AUDIÇÃO E LUDOVICO PAVONI - CEAL-LP
1,CENTRO EDUCACIONAL DARCY RIBEIRO
19,CENTRO EDUCACIONAL DE JOVENS E ADULTOS DA ASA SUL
1,CENTRO EDUCACIONAL DO LAGO NORTE
17,CENTRO EDUCACIONAL ENGENHO DAS LAJES
17,CENTRO EDUCACIONAL GESNER TEIXEIRA
9,CENTRO EDUCACIONAL GISNO
10,CENTRO EDUCACIONAL INCRA 09
13,CENTRO EDUCACIONAL IRMA MARIA REGINA VELANES REGIS
4,CENTRO EDUCACIONAL MYRIAM ERVILHA
1,CENTRO EDUCACIONAL PAD DF
16,CENTRO EDUCACIONAL PROFESSOR CARLOS RAMOS MOTA
1,CENTRO EDUCACIONAL SAO BARTOLOMEU
5,CENTRO EDUCACIONAL SAO BARTOLOMEU/ANEXO
3,CENTRO EDUCACIONAL SAO FRANCISCO
5,"CENTRO EDUCACIONAL SAO FRANCISCO/ANEXO
1; CENTRO EDUCACIONAL STELLA DOS CHERUBINS GUIMARAES TROIS
2; CENTRO EDUCACIONAL STELLA DOS CHERUBINS GUIMARAES TROIS/ANEX"
12,CENTRO EDUCACIONAL TAQUARA
16,CENTRO EDUCACIONAL VARGEM BONITA
8,CENTRO EDUCACIONAL VARZEAS
1,CENTRO INTERESCOLAR DE LINGUAS 01 DO RECANTO DAS EMAS
4,CENTRO INTERESCOLAR DE LÍNGUAS DE CEILÂNDIA
1,CENTRO INTERESCOLAR DE LÍNGUAS DE TAGUATINGA
1,CENTRO INTERESCOLAR DE LINGUAS DO GUARA
2,CONVENIO APAED
2,CONVENIO CEMEC/INSTITUTO L MURIVALDO
1,CONVENIO ESCOLA TECNICA FEDERAL DE BRASILIA
1,CONVENIO OBRAS SOC CENTRO ESPIRITO FRAT JERONIMO CANDINHO
3,CONVENIO SES/CLASSES HOSPITALARES
1,COORDENACAO REGIONAL DE ENSINO DE SOBRADINHO
1,COORDENACAO REGIONAL DE ENSINO DO PARANOA
1,COORDENACAO REGIONAL DE ENSINO DO RECANTO DAS EMAS
3,Escola  Classe Almécegas
4,ESCOLA BILINGUE LIBRAS E PORTUGUES ESCRITO DE TAGUATINGA
13,Escola Classe  01 DE Brazlândia
22,ESCOLA CLASSE  203 DO RECANTO DAS EMAS
